,Time,T1,Q1
0,0.0,47.33,100.0
1,1.0,47.33,100.0
2,2.0,47.33,100.0
3,3.0,47.33,100.0
4,4.0,47.33,100.0
5,5.0,47.33,100.0
6,6.0,47.33,100.0
7,7.0,47.33,100.0
8,8.0,47.33,100.0
9,9.0,47.66,100.0
10,10.0,47.66,100.0
11,11.0,47.66,100.0
12,12.0,47.98,100.0
13,13.0,47.98,100.0
14,14.0,47.98,100.0
15,15.0,47.98,100.0
16,16.0,47.98,100.0
17,17.0,48.3,100.0
18,18.0,48.62,100.0
19,19.0,48.62,100.0
20,20.0,48.95,100.0
21,21.0,48.95,100.0
22,22.0,49.27,100.0
23,23.0,49.27,100.0
24,24.0,49.59,100.0
25,25.0,49.59,100.0
26,26.0,49.91,100.0
27,27.0,50.24,100.0
28,28.0,50.24,100.0
29,29.0,50.56,100.0
30,30.0,50.56,100.0
31,31.0,50.88,100.0
32,32.0,50.88,100.0
33,33.0,50.88,100.0
34,34.0,51.2,100.0
35,35.0,51.52,100.0
36,36.0,51.85,100.0
37,37.0,51.85,100.0
38,38.0,52.17,100.0
39,39.0,52.17,100.0
40,40.0,52.49,100.0
41,41.0,52.81,100.0
42,42.0,52.81,100.0
43,43.0,53.14,100.0
44,44.0,53.46,100.0
45,45.0,53.46,100.0
46,46.0,53.78,100.0
47,47.0,53.78,100.0
48,48.0,54.1,100.0
49,49.0,54.1,100.0
50,50.0,54.75,100.0
51,51.0,54.75,100.0
52,52.0,54.75,100.0
53,53.0,55.07,100.0
54,54.0,55.39,100.0
55,55.0,55.39,100.0
56,56.0,55.71,100.0
57,57.0,56.04,100.0
58,58.0,56.04,100.0
59,59.0,56.04,100.0
60,60.0,56.36,100.0
61,61.0,56.68,100.0
62,62.0,56.68,100.0
63,63.0,57.0,100.0
64,64.0,57.33,100.0
65,65.0,57.33,100.0
66,66.0,57.33,100.0
67,67.0,57.65,100.0
68,68.0,57.65,100.0
69,69.0,57.97,100.0
70,70.0,58.29,100.0
71,71.0,58.29,100.0
72,72.0,58.62,100.0
73,73.0,58.62,100.0
74,74.0,58.94,100.0
75,75.0,59.26,100.0
76,76.0,59.26,100.0
77,77.0,59.26,100.0
78,78.0,59.26,100.0
79,79.0,59.58,100.0
80,80.0,59.9,100.0
81,81.0,60.23,100.0
82,82.0,60.23,100.0
83,83.0,60.55,100.0
84,84.0,60.87,100.0
85,85.0,61.19,100.0
86,86.0,60.87,100.0
87,87.0,61.19,100.0
88,88.0,61.52,100.0
89,89.0,61.52,100.0
90,90.0,61.84,100.0
91,91.0,61.84,100.0
92,92.0,62.16,100.0
93,93.0,62.16,100.0
94,94.0,62.16,100.0
95,95.0,62.48,100.0
96,96.0,62.8,100.0
97,97.0,62.8,100.0
98,98.0,63.13,100.0
99,99.0,63.13,100.0
100,100.0,63.13,100.0
101,101.0,63.45,100.0
102,102.0,63.45,100.0
103,103.0,63.77,100.0
104,104.0,64.09,100.0
105,105.0,64.09,100.0
106,106.0,64.09,100.0
107,107.0,64.42,100.0
108,108.0,64.42,100.0
109,109.0,64.74,100.0
110,110.0,64.74,100.0
111,111.0,65.06,100.0
112,112.0,65.06,100.0
113,113.0,65.06,100.0
114,114.0,65.06,100.0
115,115.0,65.38,100.0
116,116.0,65.38,100.0
117,117.0,65.71,100.0
118,118.0,65.71,100.0
119,119.0,65.71,100.0
120,120.0,66.03,100.0
121,121.0,66.03,100.0
122,122.0,66.03,100.0
123,123.0,66.35,100.0
124,124.0,66.35,100.0
125,125.0,66.67,100.0
126,126.0,66.67,100.0
127,127.0,66.99,100.0
128,128.0,66.99,100.0
129,129.0,67.32,100.0
130,130.0,67.32,100.0
131,131.0,67.32,100.0
132,132.0,67.64,100.0
133,133.0,67.64,100.0
134,134.0,67.64,100.0
135,135.0,67.64,100.0
136,136.0,67.96,100.0
137,137.0,67.96,100.0
138,138.0,68.28,100.0
139,139.0,68.28,100.0
140,140.0,68.28,100.0
141,141.0,68.61,100.0
142,142.0,68.61,100.0
143,143.0,68.61,100.0
144,144.0,68.93,100.0
145,145.0,68.93,100.0
146,146.0,69.25,100.0
147,147.0,69.25,100.0
148,148.0,69.25,100.0
149,149.0,69.25,100.0
150,150.0,69.57,100.0
151,151.0,69.57,100.0
152,152.0,69.57,100.0
153,153.0,69.9,100.0
154,154.0,70.22,100.0
155,155.0,69.9,100.0
156,156.0,70.22,100.0
157,157.0,70.22,100.0
158,158.0,70.22,100.0
159,159.0,70.54,100.0
160,160.0,70.22,100.0
161,161.0,70.54,100.0
162,162.0,70.86,100.0
163,163.0,70.86,100.0
164,164.0,70.86,100.0
